listing_id,property_url,address,suburb,state,postcode,property_type,rent_pw,bond,bedrooms,bathrooms,parking_spaces,available_date,inspection_times,agency_name,agent_name,agent_phone,agent_email,property_headline,property_description,has_air_conditioning,is_furnished,has_balcony,has_dishwasher,has_laundry,has_built_in_wardrobe,has_gym,has_pool,has_parking,allows_pets,has_security_system,has_storage,has_study_room,has_garden,latitude,longitude,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10
17544837,https://www.domain.com.au/7-2-macintosh-street-mascot-nsw-2020-17544837,"7/2 MacIntosh Street, Mascot NSW 2020",Mascot,NSW,2020,,700.0,2800.0,1,1,1,2025-05-21,"Saturday, 10 May, 10:45am - 11:00am",Exclusive Real Estate,Oliver Nohra,,oliver@exclusivere.com.au,EXCLUSIVE HOME FOR YOU!,"Feast your eyes on this renovated one bedroom unit conveniently located around the corner from Mascots popular schools, restaurants, cafes, shops and transport. You could be the lucky resident of this great home which will make you feel like moving into a brand new unit! Featuring: - One bedroom with laminate flooring and in built wardrobe - Open plan dining and living areas with ample natural light - Spacious kitchen with ample storage space and electric cook top - Modern bathroom with fine detailed finishing - Split system air conditioning - Own separate laundry room - Parking included - Great location within walking distance to all of Mascots amenities",True,False,False,False,True,False,False,False,True,False,False,True,False,False,-33.9279268,151.1944161,https://rimh2.domainstatic.com.au/cy3ihtpjtpQQnhBJFRWeD1FP6Nw=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17544837_1_1_250501_125016-w3072-h2048,https://rimh2.domainstatic.com.au/soj64xVifOfI921eBJqSscQNxns=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17544837_2_1_250501_125016-w3072-h2048,https://rimh2.domainstatic.com.au/_rekFaXd1HkBvLrLyx3XMmaNnoc=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/16117552_4_1_221004_064236-w1920-h1281,https://rimh2.domainstatic.com.au/1WvzEhuC9Qu6e8AFWK_zToeQFMA=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17544837_4_1_250501_125512-w3072-h2048,https://rimh2.domainstatic.com.au/xE57LOp8pa65hV9W7vk81CT4XpE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/16117552_6_1_221004_064236-w1920-h1281,https://www.youtube.com/watch?v=7bUG21WOHdY,,,,
17544837,https://www.domain.com.au/7-2-macintosh-street-mascot-nsw-2020-17544837,"7/2 MacIntosh Street, Mascot NSW 2020",Mascot,NSW,2020,,700.0,2800.0,1,1,1,2025-05-21,"Saturday, 10 May, 10:45am - 11:00am",Exclusive Real Estate,Oliver Nohra,,oliver@exclusivere.com.au,EXCLUSIVE HOME FOR YOU!,"Feast your eyes on this renovated one bedroom unit conveniently located around the corner from Mascots popular schools, restaurants, cafes, shops and transport. You could be the lucky resident of this great home which will make you feel like moving into a brand new unit! Featuring: - One bedroom with laminate flooring and in built wardrobe - Open plan dining and living areas with ample natural light - Spacious kitchen with ample storage space and electric cook top - Modern bathroom with fine detailed finishing - Split system air conditioning - Own separate laundry room - Parking included - Great location within walking distance to all of Mascots amenities",True,False,False,False,True,False,False,False,True,False,False,True,False,False,-33.9279268,151.1944161,https://rimh2.domainstatic.com.au/cy3ihtpjtpQQnhBJFRWeD1FP6Nw=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17544837_1_1_250501_125016-w3072-h2048,https://rimh2.domainstatic.com.au/soj64xVifOfI921eBJqSscQNxns=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17544837_2_1_250501_125016-w3072-h2048,https://rimh2.domainstatic.com.au/_rekFaXd1HkBvLrLyx3XMmaNnoc=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/16117552_4_1_221004_064236-w1920-h1281,https://rimh2.domainstatic.com.au/1WvzEhuC9Qu6e8AFWK_zToeQFMA=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17544837_4_1_250501_125512-w3072-h2048,https://rimh2.domainstatic.com.au/xE57LOp8pa65hV9W7vk81CT4XpE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/16117552_6_1_221004_064236-w1920-h1281,https://www.youtube.com/watch?v=7bUG21WOHdY,,,,
17520028,https://www.domain.com.au/35c-356-368-george-street-waterloo-nsw-2017-17520028,"35C/356-368 George Street, Waterloo NSW 2017",Waterloo,NSW,2017,,795.0,0.0,1,1,0,2025-05-06,"Saturday, 10 May, 9:00am - 9:15am",Oxford Agency,Billy Howell,,leasing@oxfordagency.com.au,Light Filled One Bedroom in Fantastic Location,"Open Inspection: Saturday 10 May 2025, 9:00 AM - 9:15 AM Agent on Site: Billy Howell - 0404 092 392 Positioned in the tightly held 'George & Allen' complex, the property enjoys all the lifestyle convenience that living in Waterloo has to offer with the added bonus of its award winning design. It is even further enhanced by its great position that's just a few minutes' walk to Green Square station, East Village, Danks St and city transport including the upcoming Metro train line. Featuring: - Timber flooring & high exposed concrete ceilings - Over-sized balcony offers all day sunlight, great for entertaining - Wide-plank timber flooring & high exposed concrete ceilings - Open plan living & dining with ample custom cabinetry/storage - Bedroom with built in robes - Exceptionally landscaped and maintained security complex The Area - Waterloo Waterloo is an inner-city neighbourhood that's full of juxtapositions. Fast emerging as a stylish address, Waterloo is situated on the edge of expansive Moore Park. Warehouse cafés, art galleries and designer stores are becoming the norm in a neighbourhood that still has echoes of its industrial, working-class past. - Sitchu",False,False,True,False,False,False,False,False,False,False,False,True,False,False,-33.9030679,151.2033682,https://rimh2.domainstatic.com.au/9B_Ivlttsy88tOfZ1AslRhH2dtI=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_1_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/sbgufgkbjp5-IZl1cWBx4h7lygE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_2_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/EAkhbWt4G2cXhXS6YoEiHw90S_g=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_3_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/zLCym7lxu2bjpmvNLBl41iExZ48=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_4_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/MIWPZV5qDFVIVo6zvpf3FHCdxIE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_5_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/lWFBygUxhmQ3pG2wioihLv00Pfs=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_6_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/atJf0yUQPBjAMS_zFpl8mFRvAv8=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_7_1_200508_072101-w1600-h1067,,,
17520028,https://www.domain.com.au/35c-356-368-george-street-waterloo-nsw-2017-17520028,"35C/356-368 George Street, Waterloo NSW 2017",Waterloo,NSW,2017,,795.0,0.0,1,1,0,2025-05-06,"Saturday, 10 May, 9:00am - 9:15am",Oxford Agency,Billy Howell,,leasing@oxfordagency.com.au,Light Filled One Bedroom in Fantastic Location,"Open Inspection: Saturday 10 May 2025, 9:00 AM - 9:15 AM Agent on Site: Billy Howell - 0404 092 392 Positioned in the tightly held 'George & Allen' complex, the property enjoys all the lifestyle convenience that living in Waterloo has to offer with the added bonus of its award winning design. It is even further enhanced by its great position that's just a few minutes' walk to Green Square station, East Village, Danks St and city transport including the upcoming Metro train line. Featuring: - Timber flooring & high exposed concrete ceilings - Over-sized balcony offers all day sunlight, great for entertaining - Wide-plank timber flooring & high exposed concrete ceilings - Open plan living & dining with ample custom cabinetry/storage - Bedroom with built in robes - Exceptionally landscaped and maintained security complex The Area - Waterloo Waterloo is an inner-city neighbourhood that's full of juxtapositions. Fast emerging as a stylish address, Waterloo is situated on the edge of expansive Moore Park. Warehouse cafés, art galleries and designer stores are becoming the norm in a neighbourhood that still has echoes of its industrial, working-class past. - Sitchu",False,False,True,False,False,False,False,False,False,False,False,True,False,False,-33.9030679,151.2033682,https://rimh2.domainstatic.com.au/9B_Ivlttsy88tOfZ1AslRhH2dtI=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_1_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/sbgufgkbjp5-IZl1cWBx4h7lygE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_2_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/EAkhbWt4G2cXhXS6YoEiHw90S_g=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_3_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/zLCym7lxu2bjpmvNLBl41iExZ48=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_4_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/MIWPZV5qDFVIVo6zvpf3FHCdxIE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_5_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/lWFBygUxhmQ3pG2wioihLv00Pfs=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_6_1_200508_072101-w1600-h1067,https://rimh2.domainstatic.com.au/atJf0yUQPBjAMS_zFpl8mFRvAv8=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/14224348_7_1_200508_072101-w1600-h1067,,,
17503165,https://www.domain.com.au/10-10-16-epsom-road-zetland-nsw-2017-17503165,"10/10-16 Epsom Road, Zetland NSW 2017",Zetland,NSW,2017,,850.0,3400.0,2,1,1,2025-04-24,"Saturday, 10 May, 9:00am - 9:15am; Thursday, 15 May, 9:00am - 9:15am",Ballard Property,Finn Bird,,finn.b@ballardproperty.com.au,Modern Residence in Converted Warehouse,"This apartment holds a prime position in a converted warehouse building, with quality contemporary finishes in a thriving city fringe location. Set in a small security building with a gorgeous leafy outlook, it's just a short stroll from Green Square Station, East Village and footsteps to a selection of popular eateries. - Flowing interiors include an open plan living/dining space - Well-appointed contemporary kitchen with modern appliances - Generous bedrooms complemented with built-in wardrobes - Deep covered entertaining terrace, timber floorboards, clean modern lines - Bathroom w/ tub, internal laundry - Rooftop terrace, block of 15, security intercom - Secure basement car space, short walk to buses and trains - Moments to well-known cafes, eateries and trendy wine bars",False,False,True,False,True,False,False,False,True,False,False,False,False,False,-33.9100766,151.2032589,https://rimh2.domainstatic.com.au/g_pPtpMtr9JtLioEi_L6NB2xVAg=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_2_1_210719_104729-w640-h428,https://rimh2.domainstatic.com.au/6ABtGFcGYEM8hcze3exZRnqLIkM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_1_1_210719_061626-w3000-h2000,https://rimh2.domainstatic.com.au/yUDWBnEL_hCp-5ExsbzQhF8Qi4U=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_4_1_210719_104729-w640-h428,https://rimh2.domainstatic.com.au/3Ten_V1iIDAFhdIkLtARWdREeFI=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_2_1_210719_045856-w3000-h2000,https://rimh2.domainstatic.com.au/v359i1YPuaA8grpcQTwUVlgYqJQ=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_4_1_210719_045856-w3000-h2000,https://rimh2.domainstatic.com.au/f-XXA_ZarGwbbBnGCZMTq5BZyZ0=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_3_1_210719_045856-w3000-h2000,https://rimh2.domainstatic.com.au/nTZjs8jCNp-vcQqllHq6r8WT9JM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_6_1_210719_045856-w3000-h2000,https://rimh2.domainstatic.com.au/4h5J7FqkT2GH2CYLaL0LDu1W_wM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_8_1_210719_061626-w3000-h2000,https://rimh2.domainstatic.com.au/9T_0MIKW2JFPN2daxeP5YzCrh3U=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_9_1_210719_061626-w3000-h2000,https://www.youtube.com/watch?v=tA1v5v-qXeE
17503165,https://www.domain.com.au/10-10-16-epsom-road-zetland-nsw-2017-17503165,"10/10-16 Epsom Road, Zetland NSW 2017",Zetland,NSW,2017,,850.0,3400.0,2,1,1,2025-04-24,"Saturday, 10 May, 9:00am - 9:15am; Thursday, 15 May, 9:00am - 9:15am",Ballard Property,Finn Bird,,finn.b@ballardproperty.com.au,Modern Residence in Converted Warehouse,"This apartment holds a prime position in a converted warehouse building, with quality contemporary finishes in a thriving city fringe location. Set in a small security building with a gorgeous leafy outlook, it's just a short stroll from Green Square Station, East Village and footsteps to a selection of popular eateries. - Flowing interiors include an open plan living/dining space - Well-appointed contemporary kitchen with modern appliances - Generous bedrooms complemented with built-in wardrobes - Deep covered entertaining terrace, timber floorboards, clean modern lines - Bathroom w/ tub, internal laundry - Rooftop terrace, block of 15, security intercom - Secure basement car space, short walk to buses and trains - Moments to well-known cafes, eateries and trendy wine bars",False,False,True,False,True,False,False,False,True,False,False,False,False,False,-33.9100766,151.2032589,https://rimh2.domainstatic.com.au/g_pPtpMtr9JtLioEi_L6NB2xVAg=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_2_1_210719_104729-w640-h428,https://rimh2.domainstatic.com.au/6ABtGFcGYEM8hcze3exZRnqLIkM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_1_1_210719_061626-w3000-h2000,https://rimh2.domainstatic.com.au/yUDWBnEL_hCp-5ExsbzQhF8Qi4U=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_4_1_210719_104729-w640-h428,https://rimh2.domainstatic.com.au/3Ten_V1iIDAFhdIkLtARWdREeFI=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_2_1_210719_045856-w3000-h2000,https://rimh2.domainstatic.com.au/v359i1YPuaA8grpcQTwUVlgYqJQ=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_4_1_210719_045856-w3000-h2000,https://rimh2.domainstatic.com.au/f-XXA_ZarGwbbBnGCZMTq5BZyZ0=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_3_1_210719_045856-w3000-h2000,https://rimh2.domainstatic.com.au/nTZjs8jCNp-vcQqllHq6r8WT9JM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_6_1_210719_045856-w3000-h2000,https://rimh2.domainstatic.com.au/4h5J7FqkT2GH2CYLaL0LDu1W_wM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_8_1_210719_061626-w3000-h2000,https://rimh2.domainstatic.com.au/9T_0MIKW2JFPN2daxeP5YzCrh3U=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/15262962_9_1_210719_061626-w3000-h2000,https://www.youtube.com/watch?v=tA1v5v-qXeE
17554192,https://www.domain.com.au/18-834-bourke-street-waterloo-nsw-2017-17554192,"18/834 Bourke Street, Waterloo NSW 2017",Waterloo,NSW,2017,,780.0,3120.0,1,1,0,2025-05-16,"Saturday, 10 May, 11:30am - 11:45am",Morton Green Square,Austin Myo,,austin.myo@morton.com.au,Sun drenched one bedroom apartment amazing facilities,"Enjoy the peaceful lifestyle in this fantastic light-filled north facing one-bedroom apartment with fresh interiors, a functional layout and quality finishes. The ""Divercity' development is equipped with resort-style entertaining areas including poolside cabanas, gymnasium, BBQ area, outdoor pizza oven and outdoor rooftop cinema. - Open plan living and dining area with reverse cycle A/C - Generous covered north facing balcony - Superb kitchen with gas cooking, stainless steel appliances - Spacious master bedroom with built-in robes - Separate study with storage perfect for home office - Luxurious bathroom with shower - Internal laundry with dryer - Security intercom building - Unfurnished - Pet friendly With cafes and restaurants on your doorstep and only moments from renowned Danks Street eateries and galleries, East Village Shopping Centre, Green Square town centre, the upcoming Waterloo Metro Train Line, city bus and rail transport, Sydney CBD and airport.",True,True,True,False,True,False,True,True,False,True,False,True,False,False,-33.9011678,151.2097273,https://rimh2.domainstatic.com.au/6DFQWITWtn71UarCDXKY9cQ2zqM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_1_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/qQltpG3OguiwKvsySs4_dsoYeoY=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_2_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/OzdWmigcMinVdvKftrRINomOueo=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_3_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/VNcHDu04rV_koNCUCJH09wK8GMg=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_4_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/ToW2jDSADbzaWZlD4GV-kYLDRYk=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_5_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/IT5k9dpx5ltJo7KOKk0jWavUIPE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_6_1_240515_122014-w6016-h4016,,,,
17554192,https://www.domain.com.au/18-834-bourke-street-waterloo-nsw-2017-17554192,"18/834 Bourke Street, Waterloo NSW 2017",Waterloo,NSW,2017,,780.0,3120.0,1,1,0,2025-05-16,"Saturday, 10 May, 11:30am - 11:45am",Morton Green Square,Austin Myo,,austin.myo@morton.com.au,Sun drenched one bedroom apartment amazing facilities,"Enjoy the peaceful lifestyle in this fantastic light-filled north facing one-bedroom apartment with fresh interiors, a functional layout and quality finishes. The ""Divercity' development is equipped with resort-style entertaining areas including poolside cabanas, gymnasium, BBQ area, outdoor pizza oven and outdoor rooftop cinema. - Open plan living and dining area with reverse cycle A/C - Generous covered north facing balcony - Superb kitchen with gas cooking, stainless steel appliances - Spacious master bedroom with built-in robes - Separate study with storage perfect for home office - Luxurious bathroom with shower - Internal laundry with dryer - Security intercom building - Unfurnished - Pet friendly With cafes and restaurants on your doorstep and only moments from renowned Danks Street eateries and galleries, East Village Shopping Centre, Green Square town centre, the upcoming Waterloo Metro Train Line, city bus and rail transport, Sydney CBD and airport.",True,True,True,False,True,False,True,True,False,True,False,True,False,False,-33.9011678,151.2097273,https://rimh2.domainstatic.com.au/6DFQWITWtn71UarCDXKY9cQ2zqM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_1_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/qQltpG3OguiwKvsySs4_dsoYeoY=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_2_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/OzdWmigcMinVdvKftrRINomOueo=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_3_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/VNcHDu04rV_koNCUCJH09wK8GMg=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_4_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/ToW2jDSADbzaWZlD4GV-kYLDRYk=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_5_1_240515_122014-w6016-h4016,https://rimh2.domainstatic.com.au/IT5k9dpx5ltJo7KOKk0jWavUIPE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17014801_6_1_240515_122014-w6016-h4016,,,,
17552466,https://www.domain.com.au/24-6b-grandstand-parade-zetland-nsw-2017-17552466,"24/6B Grandstand Parade, Zetland NSW 2017",Zetland,NSW,2017,,850.0,0.0,1,1,0,2025-05-30,"Saturday, 10 May, 11:15am - 11:30am",MGM MARTIN,Jonathan Avris,,enquiries@mgmmartin.com,MGM MARTIN - AIR CONDIITONED ONE BEDROOM APARTMENT + STUDY,"MGM MARTIN proudly presents this spacious and light filled air conditioned one bedroom apartment in the Airia Complex. With ample living space and storage this property is a must to inspect! **To view the property and get updated information for upcoming open house times, please register by clicking the book inspection button or email agent. To apply, please visit https://mgmmartin.com/properties-for-lease go to *Rents* tab & click on ""Tenancy Application"" Why make this your home? - Air conditioned open plan living & dining area - Spacious bedroom with built-in wardrobe and study nook - Internal laundry with plenty of storage and dryer - Expansive balcony with access off the bedroom and living room - Well equipped kitchen with dishwasher Where is it? East Village Shopping Centre is located at your front door and offers a range of restaurants, stores, Coles Supermarket and Virgin Active Gym. The property is moments from most of Sydney's most popular destinations. With the ED just around the corner you can pop into the CBD in under 8 mins, head to the Airport in under 10 mins or be at some of the world's finest beaches in under 15 mins. **Inspections strictly with Agents only. Please be advised applications will be processed only after the property has been inspected in person or by someone on your behalf. **Please note, while care has been taken in the preparation of these particulars & all information is gathered from sources we consider to be reliable, we cannot guarantee the accuracy of the information provided. In addition to this, any interested persons are advised to make their own enquiries and satisfy themselves in all respects. Photography and Illustrations are for presentation purposes only and should only be regarded as indicative representations only.",True,False,True,True,True,False,True,False,False,True,False,True,False,False,-33.9063448,151.2097127,https://rimh2.domainstatic.com.au/LtpFXdY6X3Vp3HqcHlDXgbdR-hc=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_1_1_250501_034512-w600-h400,https://rimh2.domainstatic.com.au/Gd5lmH-2_S6xhn3Upx2kIfBLGD0=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_2_1_250501_034512-w600-h400,https://rimh2.domainstatic.com.au/v-ndn5s45LYix65T88vDN_2Uj8s=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_3_1_250501_034512-w1000-h667,https://rimh2.domainstatic.com.au/XZBEXAbAHLbvBmrPGB4Zi_Th5Qs=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_4_1_250501_040504-w600-h400,https://rimh2.domainstatic.com.au/Gd5lmH-2_S6xhn3Upx2kIfBLGD0=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_2_1_250501_034512-w600-h400,,,,,
17552466,https://www.domain.com.au/24-6b-grandstand-parade-zetland-nsw-2017-17552466,"24/6B Grandstand Parade, Zetland NSW 2017",Zetland,NSW,2017,,850.0,0.0,1,1,0,2025-05-30,"Saturday, 10 May, 11:15am - 11:30am",MGM MARTIN,Jonathan Avris,,enquiries@mgmmartin.com,MGM MARTIN - AIR CONDIITONED ONE BEDROOM APARTMENT + STUDY,"MGM MARTIN proudly presents this spacious and light filled air conditioned one bedroom apartment in the Airia Complex. With ample living space and storage this property is a must to inspect! **To view the property and get updated information for upcoming open house times, please register by clicking the book inspection button or email agent. To apply, please visit https://mgmmartin.com/properties-for-lease go to *Rents* tab & click on ""Tenancy Application"" Why make this your home? - Air conditioned open plan living & dining area - Spacious bedroom with built-in wardrobe and study nook - Internal laundry with plenty of storage and dryer - Expansive balcony with access off the bedroom and living room - Well equipped kitchen with dishwasher Where is it? East Village Shopping Centre is located at your front door and offers a range of restaurants, stores, Coles Supermarket and Virgin Active Gym. The property is moments from most of Sydney's most popular destinations. With the ED just around the corner you can pop into the CBD in under 8 mins, head to the Airport in under 10 mins or be at some of the world's finest beaches in under 15 mins. **Inspections strictly with Agents only. Please be advised applications will be processed only after the property has been inspected in person or by someone on your behalf. **Please note, while care has been taken in the preparation of these particulars & all information is gathered from sources we consider to be reliable, we cannot guarantee the accuracy of the information provided. In addition to this, any interested persons are advised to make their own enquiries and satisfy themselves in all respects. Photography and Illustrations are for presentation purposes only and should only be regarded as indicative representations only.",True,False,True,True,True,False,True,False,False,True,False,True,False,False,-33.9063448,151.2097127,https://rimh2.domainstatic.com.au/LtpFXdY6X3Vp3HqcHlDXgbdR-hc=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_1_1_250501_034512-w600-h400,https://rimh2.domainstatic.com.au/Gd5lmH-2_S6xhn3Upx2kIfBLGD0=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_2_1_250501_034512-w600-h400,https://rimh2.domainstatic.com.au/v-ndn5s45LYix65T88vDN_2Uj8s=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_3_1_250501_034512-w1000-h667,https://rimh2.domainstatic.com.au/XZBEXAbAHLbvBmrPGB4Zi_Th5Qs=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_4_1_250501_040504-w600-h400,https://rimh2.domainstatic.com.au/Gd5lmH-2_S6xhn3Upx2kIfBLGD0=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/17552466_2_1_250501_034512-w600-h400,,,,,
